,media,desviación
depth,92.64023947181289,142.51834097241536
latitude,3.2440883581149254,28.41027671815951
longitude,33.958236630048866,122.56465110811561
nst,49.79510053809119,42.679470149674486
gap,106.74205324270744,45.77685139327224
dmin,3.654399046516567,4.843609139834165
log_nst_plus_1,3.6755584493430646,0.6815337273812485
log_gap_plus_1,4.57991577042498,0.4696990087946668
log_dmin_plus_1,1.259614820772242,0.677299418701585
rms,0.7066535683942226,0.2208374048972193
log_rms_plus_1,0.5262555335069972,0.1285877544065207
log_depth_clipped,3.644648463221154,1.304688666253812
log_depth_unclipped,3.6446433251092056,1.304703162380136
