id,mag,magType_grouped,leverage,Cook,residuo externo,DFFITS,max |DFBETAS|,COVRATIO
hv74260121,4.1,Other,0.20219881176369037,0.20258831837152916,-4.290392820998264,-2.159926721735731,1.9178714347869532,1.2183776882871296
nc75095651,7.0,mw,0.02085362311834369,0.14351861099308116,12.518020010066252,1.826848744311929,1.510784502308518,0.7933458209454775
us7000mrbq,5.7,Other,0.20249072198793214,0.07076651882076311,2.5323660405851527,1.2760308470963604,1.1308252756898238,1.2428841594778415
nn00888580,5.7,mw,0.018670583949683975,0.04340006511960751,7.25657376250059,1.0009287324672655,0.9100501392168225,0.9368261226954206
hv74103036,5.88,ml,0.01821761633494652,0.0262212513377672,5.7073978894228485,0.7774568752354567,0.7193766297714183,0.9674829286196704
pr2024136000,5.6,ml,0.01804869829052373,0.02488919694005512,5.586710047856517,0.757415344742929,0.7307375078905536,0.9694647917164592
us7000myfa,7.1,mww,0.012195154810525466,0.021512161030238158,6.339434182740721,0.7043825365401533,0.3478533562081888,0.9497456501760208
us7000n05d,7.4,mww,0.004971406798821486,0.019794967478469275,9.576611605011179,0.6769143873095947,0.4452723005613956,0.8671867550432649
ci40735352,4.11,mw,0.023860772046019125,0.018313774131824744,-4.153522863784144,-0.649386069950075,0.4649424790375112,0.9976599867779453
us7000m9g4,7.4,mww,0.007337571983142605,0.01802160798403507,7.503003321178803,0.6450754796085377,0.27956791661582225,0.9206731260398752
nc75103356,5.25,mw,0.021812375554202814,0.016579511058669897,4.137685522700157,0.6178710983713973,0.4960621522894942,0.9957838229574955
ci40455759,4.15,mw,0.02306254872474886,0.01544754193517507,-3.8814127561998863,-0.5963621886923034,0.4406544018930639,1.0004022893626672
