Término,Estimación,EE HC3,t HC3,p HC3,IC95 inferior,IC95 superior,EE clúster región,p clúster región
Intercept,4.375691811877407,0.004700261720272259,930.9464179420095,0.0,4.366478677376008,4.384904946378806,0.015189709051681159,3.8693755525891103e-75
"C(magType_grouped, Treatment(reference='mb'))[T.mww]",0.43133537969413316,0.011821001094774785,36.48890447060322,1.2228980725058363e-278,0.40816465442204375,0.45450610496622257,0.029571323153996742,1.141845345184927e-18
"C(magType_grouped, Treatment(reference='mb'))[T.mwr]",-0.18947162790452213,0.011003627075180919,-17.21901574907807,8.985857562923282e-66,-0.21104019201439625,-0.167903063794648,0.02948727088465124,7.275559210386311e-08
"C(magType_grouped, Treatment(reference='mb'))[T.ml]",0.13336975287615588,0.05625252910977859,2.3709112281135054,0.017757655385000667,0.023107357380816845,0.2436321483714949,0.03394302006678843,0.00029051714286600474
"C(magType_grouped, Treatment(reference='mb'))[T.mw]",-0.10433825743048092,0.07622220730478405,-1.3688695344818778,0.1710618651113654,-0.25374386283830674,0.045067347977344935,0.13614978798848312,0.4474702908921314
"C(magType_grouped, Treatment(reference='mb'))[T.md]",0.051619381771659534,0.02819132158542107,1.831038024068872,0.06711595708151107,-0.003639336358537991,0.10687809990185707,0.019142084599999293,0.009819859788611881
"C(magType_grouped, Treatment(reference='mb'))[T.Other]",0.3336134116656917,0.24687918677608264,1.3513225477702024,0.17661381120744302,-0.15030243998870235,0.8175292633200857,0.2095813636004196,0.11842900376997863
z_depth,-0.15966597672401145,0.004286889805473368,-37.24517866546392,1.0841532096502026e-289,-0.16806884761100013,-0.15126310583702277,0.009530873894960008,5.8108300462359275e-21
z_latitude,-0.09657240542381468,0.002489074340572854,-38.798521944342085,0.0,-0.10145132026908224,-0.09169349057854712,0.004652683637825831,1.1176100642911839e-24
z_longitude,0.041772203385627676,0.002832301731339646,14.748500459331325,7.271858399418213e-49,0.03622051746847275,0.047323889302782605,0.009217270273430077,4.291555310481835e-05
z_log_nst,0.18944269600201552,0.002776841762622527,68.2223591390748,0.0,0.1839997189571837,0.19488567304684734,0.006437703079204142,4.921251235401063e-31
z_log_gap,-0.03700362281974112,0.0026048444717377338,-14.205693745337282,1.739171872898956e-45,-0.042109462430722555,-0.03189778320875969,0.007059824148416056,4.100867479718268e-06
z_log_dmin,0.026941072528205937,0.0024605552433511757,10.949184173371087,8.6748387929867e-28,0.022118058884658395,0.03176408617175348,0.007921687708615361,0.001418003103537003
z_rms,0.01145696583624679,0.001778940112212723,6.440332508999484,1.2307568565900196e-10,0.007970007981738084,0.014943923690755496,0.002927923730702334,0.0003054415010075569
I(z_depth ** 2),0.02714897934186871,0.001889946385914484,14.364946828230895,1.826835734551405e-46,0.023444434512212967,0.030853524171524455,0.0031439805966596017,4.1788420159566324e-11
I(z_latitude ** 2),-0.009086215645678459,0.0017647140405272826,-5.1488317296798805,2.656419300981097e-07,-0.012545288518527693,-0.005627142772829224,0.003435785330731262,0.011221838748630055
I(z_longitude ** 2),0.05626665592219192,0.0033669390507970495,16.711516030820935,4.271787718593178e-62,0.04966701016220865,0.06286630168217519,0.010894226424951156,5.303751887284703e-06
z_latitude:z_longitude,0.014774387918024611,0.0026405305282756935,5.5952346544815414,2.2442529449886042e-08,0.00959859891735479,0.019950176918694433,0.005196381068921121,0.0066934663680846464
I(z_log_gap ** 2),-0.01081610066165005,0.003108558870317387,-3.4794582032624377,0.0005039462264327039,-0.016909287101509112,-0.004722914221790987,0.005342865873140067,0.04888860767321734
I(z_log_dmin ** 2),0.0026169861452641704,0.0013572378555171526,1.928170611087923,0.05385396280855296,-4.3379523170521735e-05,0.005277351813698863,0.002502919336212741,0.30134207323420037
z_log_nst:z_log_gap,-0.0360495819093615,0.003780058075068708,-9.536779910109251,1.7104764806926684e-21,-0.04345899558488142,-0.028640168233841582,0.006728971169014157,2.775251287357956e-06
z_log_nst:z_log_dmin,0.0054251462506486724,0.002651859959002396,2.045789119531621,0.040795635400793936,0.00022715006763000204,0.010623142433667344,0.0037553596161131225,0.15548628814743248
z_depth:z_longitude,0.0036270190176850474,0.0017234041172024652,2.1045667591723327,0.035346688449046836,0.0002489190570871733,0.007005118978282921,0.00324902300793999,0.27020159173562147
